frame,timestamp,track_id,class,x1,y1,x2,y2,confidence
1,13:48:56,1,person,605,401,918,715,0.833
3,13:48:57,1,person,607,404,916,714,0.856
5,13:48:57,1,person,606,405,914,714,0.854
7,13:48:57,1,person,604,404,913,715,0.854
9,13:48:57,1,person,603,404,913,715,0.875
11,13:48:57,1,person,600,402,912,715,0.853
13,13:48:57,1,person,604,413,906,715,0.816
15,13:48:57,1,person,605,414,908,716,0.815
17,13:48:58,1,person,604,411,911,716,0.809
19,13:48:58,1,person,605,415,908,716,0.822
21,13:48:58,1,person,605,415,909,716,0.824
23,13:48:58,1,person,604,412,913,716,0.788
25,13:48:58,1,person,595,406,910,715,0.768
27,13:48:58,1,person,557,433,849,716,0.804
45,13:48:59,6,person,659,533,859,719,0.737
47,13:48:59,6,person,627,514,844,717,0.665
49,13:48:59,6,person,579,472,837,714,0.510
51,13:49:00,6,person,540,414,860,714,0.809
53,13:49:00,6,person,501,342,898,714,0.846
55,13:49:00,6,person,468,266,942,714,0.847
57,13:49:00,6,person,444,197,984,713,0.930
59,13:49:00,6,person,445,186,993,714,0.853
61,13:49:00,6,person,466,209,988,714,0.828
63,13:49:00,6,person,481,216,994,714,0.889
65,13:49:00,6,person,490,218,997,714,0.871
67,13:49:00,6,person,482,222,986,714,0.842
69,13:49:01,6,person,494,221,998,714,0.816
71,13:49:01,6,person,494,223,997,714,0.825
73,13:49:01,6,person,495,226,995,714,0.861
75,13:49:01,6,person,499,227,998,714,0.865
77,13:49:01,6,person,499,230,996,713,0.870
79,13:49:01,6,person,494,232,991,714,0.861
81,13:49:01,6,person,486,235,983,714,0.864
83,13:49:01,6,person,495,238,989,714,0.832
85,13:49:01,6,person,497,240,988,713,0.849
87,13:49:02,6,person,493,242,984,713,0.875
89,13:49:02,6,person,493,245,983,713,0.868
91,13:49:02,6,person,496,250,983,714,0.872
93,13:49:02,6,person,496,260,977,714,0.879
95,13:49:02,6,person,502,279,969,714,0.871
97,13:49:02,6,person,553,327,970,714,0.895
99,13:49:02,6,person,567,343,968,714,0.866
101,13:49:02,6,person,532,322,961,714,0.852
103,13:49:03,6,person,517,315,959,714,0.893
105,13:49:03,6,person,502,292,973,714,0.918
107,13:49:03,6,person,466,248,987,714,0.837
109,13:49:03,6,person,471,208,1028,714,0.916
111,13:49:03,6,person,483,215,1027,714,0.769
113,13:49:03,6,person,541,286,1007,713,0.877
115,13:49:03,6,person,592,356,987,714,0.879
117,13:49:03,6,person,618,403,960,715,0.884
119,13:49:04,6,person,624,414,953,715,0.892
121,13:49:04,6,person,596,367,979,714,0.881
123,13:49:04,6,person,554,316,995,714,0.880
125,13:49:04,6,person,524,272,1013,714,0.876
127,13:49:04,6,person,520,252,1027,714,0.845
129,13:49:04,6,person,507,250,1019,713,0.877
131,13:49:04,6,person,510,290,991,713,0.906
133,13:49:04,6,person,544,348,972,713,0.834
135,13:49:05,6,person,556,398,935,714,0.874
137,13:49:05,6,person,561,414,929,714,0.866
139,13:49:05,6,person,564,387,975,714,0.827
141,13:49:05,6,person,506,328,999,714,0.824
143,13:49:05,6,person,466,291,1014,714,0.924
145,13:49:05,6,person,451,277,1023,714,0.923
147,13:49:05,6,person,461,271,1042,714,0.917
149,13:49:05,6,person,512,317,1036,714,0.853
151,13:49:06,6,person,553,406,950,713,0.736
153,13:49:06,6,person,570,436,923,714,0.792
155,13:49:06,6,person,583,440,928,714,0.855
157,13:49:06,6,person,589,412,969,714,0.815
159,13:49:06,6,person,526,322,1019,714,0.918
161,13:49:06,6,person,497,276,1045,714,0.932
163,13:49:06,6,person,489,260,1055,713,0.924
165,13:49:06,6,person,486,252,1059,713,0.919
167,13:49:07,6,person,488,249,1063,714,0.921
169,13:49:07,6,person,501,249,1071,713,0.918
171,13:49:07,6,person,512,249,1075,713,0.919
173,13:49:07,6,person,518,247,1078,713,0.899
175,13:49:07,6,person,536,263,1074,713,0.876
177,13:49:07,6,person,552,286,1062,713,0.886
179,13:49:07,6,person,555,286,1064,713,0.872
181,13:49:07,6,person,557,289,1061,714,0.899
183,13:49:07,6,person,554,290,1057,714,0.903
185,13:49:08,6,person,543,284,1050,714,0.903
187,13:49:08,6,person,531,276,1044,714,0.893
189,13:49:08,6,person,544,281,1046,713,0.901
191,13:49:08,6,person,585,300,1061,713,0.882
193,13:49:08,6,person,642,327,1087,713,0.896
195,13:49:08,6,person,677,346,1103,713,0.908
197,13:49:08,6,person,694,352,1112,713,0.905
199,13:49:08,6,person,675,354,1094,714,0.877
201,13:49:08,6,person,640,330,1088,714,0.910
203,13:49:09,6,person,595,294,1081,714,0.896
205,13:49:09,6,person,584,280,1082,713,0.886
207,13:49:09,6,person,603,279,1100,713,0.898
209,13:49:09,6,person,642,290,1128,713,0.893
211,13:49:09,6,person,683,327,1129,713,0.875
213,13:49:09,6,person,684,350,1106,714,0.890
215,13:49:09,6,person,671,337,1110,713,0.871
217,13:49:09,6,person,638,312,1106,714,0.911
219,13:49:10,6,person,646,304,1124,713,0.902
221,13:49:10,6,person,673,305,1149,714,0.894
223,13:49:10,6,person,678,310,1146,714,0.850
225,13:49:10,6,person,684,319,1141,713,0.885
227,13:49:10,6,person,694,323,1145,713,0.902
229,13:49:10,6,person,699,326,1146,713,0.897
231,13:49:10,6,person,701,328,1145,713,0.902
233,13:49:10,6,person,701,322,1150,713,0.914
235,13:49:11,6,person,682,312,1148,714,0.896
237,13:49:11,6,person,716,306,1187,715,0.796
239,13:49:11,6,person,732,304,1210,714,0.697
241,13:49:11,6,person,769,303,1249,715,0.902
243,13:49:11,6,person,793,308,1269,715,0.887
245,13:49:11,6,person,810,315,1276,714,0.823
247,13:49:11,6,person,714,112,1280,714,0.513
249,13:49:11,6,person,697,41,1280,714,0.502
251,13:49:12,6,person,698,6,1280,713,0.681
253,13:49:12,6,person,709,0,1280,712,0.594
255,13:49:12,6,person,723,0,1280,712,0.582
257,13:49:12,6,person,735,0,1280,712,0.699
259,13:49:12,6,person,742,0,1280,712,0.530
263,13:49:12,6,person,772,46,1280,710,0.404
265,13:49:13,6,person,772,31,1280,709,0.467
267,13:49:13,6,person,773,19,1280,709,0.519
269,13:49:13,6,person,778,19,1280,709,0.519
271,13:49:13,6,person,785,27,1280,709,0.485
273,13:49:13,6,person,851,216,1260,709,0.553
275,13:49:13,6,person,872,291,1233,710,0.731
277,13:49:13,6,person,868,308,1226,711,0.875
279,13:49:14,6,person,855,309,1224,712,0.829
281,13:49:14,6,person,829,302,1214,713,0.707
283,13:49:14,6,person,803,296,1201,713,0.781
285,13:49:14,6,person,774,292,1181,713,0.786
287,13:49:14,6,person,719,290,1141,714,0.858
289,13:49:14,6,person,685,292,1114,713,0.863
291,13:49:14,6,person,663,297,1091,713,0.891
293,13:49:14,6,person,645,309,1065,713,0.895
295,13:49:15,6,person,618,321,1031,713,0.864
297,13:49:15,6,person,594,333,1000,713,0.814
299,13:49:15,6,person,571,345,972,712,0.840
301,13:49:15,6,person,553,357,952,713,0.870
303,13:49:15,6,person,539,367,936,714,0.908
305,13:49:15,6,person,530,373,928,714,0.920
307,13:49:15,6,person,526,375,928,714,0.931
309,13:49:15,6,person,526,376,934,714,0.923
311,13:49:16,6,person,527,374,942,714,0.915
313,13:49:16,6,person,528,372,951,714,0.926
315,13:49:16,6,person,529,370,959,715,0.921
317,13:49:16,6,person,529,368,965,715,0.918
319,13:49:16,6,person,529,364,971,715,0.917
321,13:49:16,6,person,532,359,981,714,0.861
323,13:49:16,6,person,536,354,992,714,0.903
325,13:49:17,6,person,543,348,1006,715,0.906
327,13:49:17,6,person,552,345,1018,714,0.904
329,13:49:17,6,person,561,339,1033,714,0.914
331,13:49:17,6,person,568,334,1045,713,0.908
333,13:49:17,6,person,576,329,1058,714,0.896
335,13:49:17,6,person,584,325,1070,714,0.862
337,13:49:17,6,person,594,323,1082,714,0.885
339,13:49:17,6,person,603,324,1091,713,0.907
341,13:49:18,6,person,612,331,1094,713,0.894
343,13:49:18,6,person,619,340,1095,714,0.909
345,13:49:18,6,person,624,348,1096,715,0.857
347,13:49:18,6,person,622,353,1094,716,0.770
349,13:49:18,6,person,620,358,1092,717,0.790
351,13:49:18,6,person,619,361,1093,717,0.851
353,13:49:18,6,person,617,364,1092,717,0.737
355,13:49:19,6,person,615,366,1092,718,0.764
